no,date,pm10,Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,monsoon,day,station
1,11/16/11,24.9,0.0007054,0,0.0016598,0,0.0049793,0,0.0012448,0,0.0204564,0,FTM,weekday,1
2,11/20/11,12.55,0.000795,0,0.0003766,0,0.0043515,0,0.0008787,0,0.0134728,0,FTM,weekend,1
3,11/23/11,20.7,0.0026501,0.0001656,0.0005797,0,0.0030642,4.14E-05,0.0016563,0,0.0101863,0,FTM,weekday,1
4,11/27/11,30.77,0.0012692,0.0001154,0.0065769,0.0002308,0.005,0.0001923,0.0012308,0,0.0241538,0,FTM,weekend,1
5,11/30/11,20.83,0.0019167,0.0002083,0.0052083,0.0004583,0.0070417,0,0.003,0,0.049875,0,FTM,weekday,1
6,12/04/11,12.45,0,0,0.0004979,0,0.0003734,0,0.0015353,0,0.0034855,0,NEM,weekend,1
7,12/07/11,50.1,0,0,0.0002312,0,0.0003854,3.85E-05,0.002158,0,0.0041233,0,NEM,weekday,1
8,12/11/11,44.12,0,0,0.0005147,3.68E-05,0.0016176,7.35E-05,0.0082721,3.68E-05,0.0205882,7.35E-05,NEM,weekend,1
9,12/14/11,45.38,0,0.0014587,0.0020421,0.0016207,0.0026256,0.0016532,0.0092707,0.0015235,0.0220097,0.0017828,NEM,weekday,1
10,12/17/11,20.75,0,0,0.0006639,0,0.0019087,4.15E-05,0.0101245,0,0.0276349,8.30E-05,NEM,weekend,1
11,12/20/11,8.15,0,0,0.0010998,4.07E-05,0.0020367,0.0001222,0.0014257,0,0.0160489,0.0001222,NEM,weekday,1
12,12/31/11,27.87,0,0,0.0003136,0,0.0010801,3.48E-05,0.0047735,0,0.017108,0,NEM,weekend,1
13,02/01/12,12.4,0,0,0.0003719,0,0.001281,4.13E-05,0.0056612,0,0.0202893,0,NEM,weekday,1
14,02/03/12,65.57,0,0,0.0005328,4.10E-05,0,4.10E-05,0.0020082,0,0,0,NEM,weekday,1
15,02/08/12,82.82,0,0,0.0002899,0,0.0002484,0,0.0035611,0,0,0,NEM,weekday,1
16,02/11/12,29.68,0,0,0.0005937,0,3.71E-05,3.71E-05,0.0008905,0,0.0031169,0,NEM,weekend,1
17,2/15/12,66.93,0,0,0.0011417,3.94E-05,0.0007087,3.94E-05,0.0021654,0,0.0001969,7.87E-05,NEM,weekday,1
18,2/18/12,27.67,0,0,0.0004743,0,0.0002767,0,0.0024111,0,0.0023715,0.0009091,NEM,weekend,1
19,2/22/12,50.85,0,0,0.005,0.0001271,0.0010593,8.47E-05,0.0032203,0,0.0038983,0.0001695,NEM,weekday,1
