"TimeUTC","station","Time","lon","lat","tmpc","dwpc","relh","drct","sped","alti","mslp","vsby","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4"
2011-07-02 05:00:00,"WMKB",2011-07-02 12:00:00,100.3912,5.4659,32,24,62.68,240,4.73288848,29.77,NA,5.0050474,"FEW","SCT","BKN",NA,2000,14000,27000,NA
2011-07-02 06:00:00,"WMKB",2011-07-02 13:00:00,100.3912,5.4659,32,25,66.55,230,5.32449954,29.77,NA,5.0050474,"FEW","SCT","BKN",NA,2000,14000,27000,NA
2011-07-02 07:00:00,"WMKB",2011-07-02 14:00:00,100.3912,5.4659,32,24,62.68,220,4.73288848,29.74,NA,6.0028382,"FEW","BKN",NA,NA,2000,27000,NA,NA
2011-07-02 08:00:00,"WMKB",2011-07-02 15:00:00,100.3912,5.4659,31,24,66.35,210,4.14127742,29.71,NA,6.0028382,"FEW","SCT","BKN",NA,2000,14000,27000,NA
2011-07-02 09:00:00,"WMKB",2011-07-02 16:00:00,100.3912,5.4659,31,24,66.35,220,3.54966636,29.71,NA,6.0028382,"FEW","SCT","BKN",NA,2000,14000,27000,NA
2011-07-02 10:00:00,"WMKB",2011-07-02 17:00:00,100.3912,5.4659,31,25,70.45,220,3.54966636,29.71,NA,6.0028382,"FEW","SCT","BKN",NA,2000,14000,27000,NA
2011-07-02 11:00:00,"WMKB",2011-07-02 18:00:00,100.3912,5.4659,30,25,74.61,200,2.9580553,29.71,NA,6.0028382,"FEW","SCT","BKN",NA,2000,14000,27000,NA
2011-07-02 12:00:00,"WMKB",2011-07-02 19:00:00,100.3912,5.4659,30,25,74.61,210,1.77483318,29.71,NA,6.0028382,"FEW","SCT","BKN",NA,2500,14000,27000,NA
2011-07-02 13:00:00,"WMKB",2011-07-02 20:00:00,100.3912,5.4659,28,24,78.9,80,4.14127742,29.77,NA,7.9984198,"FEW","SCT","OVC",NA,1700,2200,25000,NA
2011-07-02 14:00:00,"WMKB",2011-07-02 21:00:00,100.3912,5.4659,25,23,88.67,200,5.9161106,29.8,NA,5.0050474,"FEW","SCT","OVC",NA,1700,2200,25000,NA
2011-07-02 15:00:00,"WMKB",2011-07-02 22:00:00,100.3912,5.4659,25,24,94.19,270,1.18322212,29.8,NA,5.0050474,"FEW","SCT","OVC",NA,1700,2200,25000,NA
2011-07-02 16:00:00,"WMKB",2011-07-02 23:00:00,100.3912,5.4659,25,24,94.19,40,1.18322212,29.8,NA,7.000629,"SCT","OVC",NA,NA,2200,25000,NA,NA
2011-07-02 17:00:00,"WMKB",2011-07-03 00:00:00,100.3912,5.4659,25,24,94.19,90,1.18322212,29.83,NA,7.000629,"FEW","SCT","BKN",NA,2200,14000,25000,NA
2011-07-02 18:00:00,"WMKB",2011-07-03 01:00:00,100.3912,5.4659,25,25,100,20,0.59161106,29.83,NA,7.9984198,"FEW","SCT","BKN",NA,2400,14000,27000,NA
2011-07-02 19:00:00,"WMKB",2011-07-03 02:00:00,100.3912,5.4659,26,24,88.75,320,3.54966636,29.8,NA,7.9984198,"FEW","SCT","BKN",NA,1700,2500,27000,NA
2011-07-02 20:00:00,"WMKB",2011-07-03 03:00:00,100.3912,5.4659,25,23,88.67,50,2.36644424,29.77,NA,7.9984198,"FEW","SCT","BKN",NA,1700,2500,27000,NA
2011-07-02 21:00:00,"WMKB",2011-07-03 04:00:00,100.3912,5.4659,26,24,88.75,310,2.36644424,29.77,NA,7.9984198,"FEW","SCT","BKN",NA,2500,14000,27000,NA
2011-07-02 22:00:00,"WMKB",2011-07-03 05:00:00,100.3912,5.4659,25,24,94.19,100,1.18322212,29.8,NA,7.9984198,"FEW","SCT","BKN",NA,2500,14000,27000,NA
2011-07-02 23:00:00,"WMKB",2011-07-03 06:00:00,100.3912,5.4659,24,22,88.59,180,7.09933272,29.83,NA,7.9984198,"FEW","FEW","SCT","BKN",800,1700,2500,26000
2011-07-03 00:00:00,"WMKB",2011-07-03 07:00:00,100.3912,5.4659,24,23,94.14,300,1.18322212,29.85,NA,4.0072566,"FEW","FEW","SCT","OVC",800,1700,2500,26000
2011-07-03 01:00:00,"WMKB",2011-07-03 08:00:00,100.3912,5.4659,24,23,94.14,80,1.77483318,29.88,NA,5.0050474,"FEW","FEW","SCT","OVC",1000,1700,2500,26000
2011-07-03 02:00:00,"WMKB",2011-07-03 09:00:00,100.3912,5.4659,24,24,100,60,2.36644424,29.88,NA,5.0050474,"FEW","FEW","SCT","BKN",1200,1700,2500,26000
2011-07-03 03:00:00,"WMKB",2011-07-03 10:00:00,100.3912,5.4659,25,24,94.19,40,2.9580553,29.91,NA,7.000629,"FEW","FEW","SCT","BKN",1200,1700,14000,26000
2011-07-03 04:00:00,"WMKB",2011-07-03 11:00:00,100.3912,5.4659,25,24,94.19,40,4.14127742,29.88,NA,7.000629,"FEW","SCT","BKN",NA,800,2500,26000,NA
2011-07-03 05:00:00,"WMKB",2011-07-03 12:00:00,100.3912,5.4659,25,24,94.19,60,3.54966636,29.85,NA,6.0028382,"FEW","SCT","BKN",NA,800,2500,26000,NA
2011-08-22 20:00:00,"WMKB",2011-08-23 03:00:00,100.3912,5.4659,25,24,94.19,100,1.18322212,29.83,NA,7.000629,"FEW","SCT","BKN","",2500,14000,27000,NA
2011-08-22 21:00:00,"WMKB",2011-08-23 04:00:00,100.3912,5.4659,24,24,100,90,1.18322212,29.83,NA,7.000629,"FEW","SCT","BKN","",2500,14000,27000,NA
